sn,description,fullname,id,vehicle_plate,gender,race,friendly,blacklisted,deceased,address,postal,dob,nationality,citizen,employer,business_partner,marital,father,mother,spouse,siblings,sib1,sib2,sib3,children,child1,child2,child2
1,,Wong Ah Gong,S500000001A,,M,Chinese,n,n,y,45 Limau Garden ,467905,12/5/1950,singapore,singaporean,Willms-Nitzsche Ptd Lte,,married,,,Wong Ah Ma,0,,,,1,Lim Ah Bu,,
2,,Wong Ah Ma,S510000002A,,F,Chinese,n,n,y,46 Limau Garden ,467905,2/2/1951,singapore,singaporean,Swaniawski-Rice Ptd Lte,,married,,,Wong Ah Gong,0,,,,1,Lim Ah Bu,,
3,,Ng Ah Gong,S530000003A,,M,Chinese,n,n,y,63 Jln Limau Nipis,468312,3/3/1953,singapore,singaporean,Borer Mosciski and Raynor Ptd Lte,,married,,,Ng Ah Ma,0,,,,1,Lim Xiao Shen,,
4,,Ng Ah Ma,S540000004A,,F,Chinese,n,n,y,63 Jln Limau Nipis,468312,4/4/1954,singapore,singaporean,Graham Inc Ptd Lte,,married,,,Ng Ah Gong,0,,,,1,Lim Xiao Shen,,
5,,Lim Ah Bu,S8067292U,,F,Chinese,n,n,n,54 Limau Garden,467913,1/20/1980,singapore,singaporean,Bogan LLC Ptd Lte,,married,Wong Ah Gong,Wong Ah Ma,Lim Lao Bei,0,,,,2,Lim Xiao Zhan,Lim Dua Ji,
6,,Lim Xiao Shen,S8076896G,,F,Chinese,n,n,n,63 Jln Limau Nipis,468312,9/8/1980,singapore,singaporean,Weimann Group Ptd Lte,,married,Ng Ah Ma,Ng Ah Ma,Lim Xiao Shu,0,,,,1,Lim Xiao Ming,,
7,,Lim Ah Gong,S550000005A,,M,Chinese,n,n,y,54 Limau Garden,467913,5/5/1955,singapore,singaporean,Anderson Inc Ptd Lte,,married,,,Lim Ah Ma,0,,,,3,Lim Lao Bei,Lim Xiao Shu,Lim Ah Pei
8,,Lim Ah Ma,S560000006A,,F,Chinese,n,n,y,54 Limau Garden,467913,6/6/1956,singapore,singaporean,Jakubowski-Carter Ptd Lte,,married,,,Lim Ah Gong,0,,,,3,Lim Lao Bei,Lim Xiao Shu,Lim Ah Pei
9,,Lim Ah Pei,S7258085C,,M,Chinese,n,n,n,54 Limau Garden,467913,5/25/1972,singapore,singaporean,Bauch-Abernathy Ptd Lte,,single,Lim Ah Gong,Lim Ah Ma,,2,Lim Lao Bei,Lim Xiao Shu,,0,,,
10,,Lim Lao Bei,S7772517D,,M,Chinese,n,n,n,54 Limau Garden,467913,3/13/1977,singapore,singaporean,Parisian Inc Ptd Lte,,married,Lim Ah Gong,Lim Ah Ma,Lim Ah Bu,2,Lim Ah Pei,Lim Xiao Shu,,2,Lim Xiao Zhan,Lim Dua Ji,
11,,Lim Xiao Shu,S7816068A,,M,Chinese,n,n,n,63 Jln Limau Nipis,468312,4/13/1978,singapore,singaporean,Adams-O'Keefe Ptd Lte,,married,Lim Ah Gong,Lim Ah Ma,Lim Xiao Shen,2,Lim Ah Pei,Lim Lao Bei,,1,Lim Xiao Ming,,
12,,Lim Dua Ji,S9000419Z,,F,Chinese,n,n,n,54 Limau Garden,467913,6/15/1990,singapore,singaporean,Bahringer Reichert and Toy Ptd Lte,,single,Lim Lao Bei,Lim Ah Bu,,1,Lim Xiao Zhan,,,0,,,
13,POI#1 � Culprit,Lim Xiao Zhan,S9464374J,,M,Chinese,n,n,n,54 Limau Garden,467913,6/15/1994,singapore,singaporean,Donnelly Purdy and Bogisich Ptd Lte,,single,Lim Lao Bei,Lim Ah Bu,,1,Lim Dua Ji,,,0,,,
14,POI#3 � Culprit�s cousin /sibling,Lim Xiao Ming,S9274095A,SLZ774X,M,Chinese,n,n,n,63 Jln Limau Nipis,468312,5/30/1992,singapore,singaporean,Spinka Terry and Turcotte Ptd Lte,,single,Lim Xiao Shu,Lim Xiao Shen,,0,,,,0,,,
15,POI#2 � Victim/former business partner,Dylan Wang He Di,S9000992C,,M,Chinese,y,n,n,16 Tanah Merah Kechil Ave,465582,5/13/1972,singapore,singaporean,Labadie-O'Connell Ptd Lte,Lim Xiao Zhan,single,,,,0,,,,0,,,
16,POI#4 - Cleaner,Ren Jia Lun,S8526798A,,M,Chinese,y,n,n,94D Bedok North Ave 4 #05-12,463094,9/10/1999,singapore,singaporean,Legros Group Ptd Lte,,single,,,,0,,,,0,,,
17,POI#5 - Extra (Washroom),Li Yi Feng,S9666877E,,M,Chinese,y,n,n,61 Borthwick Dr,559564,8/13/2002,singapore,singaporean,Hammes Ward and Bat Ptd Lte,,single,,,,0,,,,0,,,
18,POI#6 - Extra (Washroom),Zhang Xin Cheng,S9997194J,,M,Chinese,y,n,n,69 Chiselhurst Grove,558652,4/28/1988,singapore,singaporean,Towne-Sipes Ptd Lte,,single,,,,0,,,,0,,,
19,POI#7 - Extra (Washroom/Entrance),Zhu Yi Long,S8212862Z,,M,Chinese,n,n,n,101 Cardiff Grove,558961,11/18/1996,singapore,singaporean,Cole and Sons Ptd Lte,,single,,,,0,,,,0,,,
20,POI#8 - VOI#5 Driver,Wang Yi Bo,S7800256E,SKF6226P,M,Chinese,n,y,n,65 Serangoon Garden Way,555961,8/5/1972,singapore,singaporean,Lemke LLC,,single,,,,0,,,,0,,,
21,,Damon Chu,S9600005A,SKN8108S,M,Chinese,n,n,n,103 Yuan Ching Road,618654,12/8/1977,singapore,singaporean,Veum LLC,,single,,,,0,,,,0,,,
22,,James Wu,S9700005B,SKQ6867G,M,Chinese,y,n,n,35 Jurong West Street 41,649406,8/29/1976,singapore,singaporean,McDermott Group Ptd Lte,,single,,,,0,,,,0,,,
23,,Heng Choon Yee,S0400005C,SMW6992Y,M,Chinese,y,n,n,8 Sumang Walk,828676,3/18/2004,singapore,singaporean,Schuppe-Heathcote Ptd Lte,,single,,,,0,,,,0,,,
